CD_MUN;NM_MUN;SIGLA_UF;AREA_KM;Bioma
2909307;Correntina;BA;11504.314;Cerrado
2909109;Coribe;BA;2662.819;Cerrado
2909000;Cordeiros;BA;523.64;Caatinga
2909703;Cristópolis;BA;1052.837;Cerrado
2909406;Cotegipe;BA;4282.775;Cerrado
2908101;Cocos;BA;10140.572;Cerrado
4104501;Capanema;PR;419.036;Mata Atlântica
4104907;Castro;PR;2531.503;Mata Atlântica
2908507;Conceição do Jacuípe;BA;114.869;Mata Atlântica
2908903;Coração de Maria;BA;378.42;Mata Atlântica
2908705;Condeúba;BA;1348.039;Caatinga
2908606;Conde;BA;931.106;Mata Atlântica
3538808;Piraju;SP;504.591;Mata Atlântica
3538709;Piracicaba;SP;1378.069;Mata Atlântica
3539301;Pirassununga;SP;727.118;Cerrado
3539202;Pirapozinho;SP;477.673;Mata Atlântica
2700508;Barra de Santo Antônio;AL;131.364;Mata Atlântica
2700300;Arapiraca;AL;345.655;Caatinga
3539707;Platina;SP;327.48;Cerrado
3539509;Pitangueiras;SP;430.638;Mata Atlântica
2700805;Belém;AL;66.628;Caatinga
3539400;Piratininga;SP;402.409;Mata Atlântica
3536901;Pedranópolis;SP;260.101;Mata Atlântica
2700607;Barra de São Miguel;AL;74.247;Mata Atlântica
3536703;Pederneiras;SP;727.482;Cerrado
3536604;Paulo de Faria;SP;737.986;Cerrado
2615102;Terezinha;PE;151.45;Mata Atlântica
3537008;Pedregulho;SP;712.604;Cerrado
2614857;Tamandaré;PE;213.75;Mata Atlântica
3537602;Peruíbe;SP;326.216;Mata Atlântica
3535507;Paraguaçu Paulista;SP;1001.492;Cerrado
3535309;Palmital;SP;548.407;Mata Atlântica
3535804;Paranapanema;SP;1018.724;Cerrado
2613404;São José da Coroa Grande;PE;69.184;Mata Atlântica
2613305;São Joaquim do Monte;PE;232.07;Caatinga
3536257;Parisi;SP;84.737;Mata Atlântica
2613206;São João;PE;258.334;Caatinga
3536109;Pardinho;SP;209.894;Mata Atlântica
2614204;Sirinhaém;PE;374.321;Mata Atlântica
3536307;Patrocínio Paulista;SP;602.848;Cerrado
3533908;Olímpia;SP;802.555;Mata Atlântica
3533809;Óleo;SP;198.938;Mata Atlântica
3533700;Ocauçu;SP;301.036;Cerrado
3534302;Orlândia;SP;291.765;Mata Atlântica
3534203;Orindiúva;SP;247.378;Cerrado
2612000;Sairé;PE;190.455;Mata Atlântica
3534500;Oscar Bressane;SP;222.13;Mata Atlântica
2612307;Saloá;PE;251.549;Caatinga
3535002;Palestina;SP;697.701;Mata Atlântica
2613107;São Caitano;PE;382.465;Caatinga
3532900;Nova Europa;SP;160.25;Mata Atlântica
2610707;Paulista;PE;96.979;Mata Atlântica
3532827;Nova Campina;SP;385.375;Mata Atlântica
2610509;Passira;PE;326.758;Caatinga
3533007;Nova Granada;SP;531.796;Mata Atlântica
3533601;Nuporanga;SP;348.265;Mata Atlântica
3531100;Mongaguá;SP;143.205;Mata Atlântica
2611606;Recife;PE;218.843;Mata Atlântica
3531506;Monte Azul Paulista;SP;263.462;Mata Atlântica
2608909;Limoeiro;PE;273.739;Mata Atlântica
3532058;Motuca;SP;228.7;Mata Atlântica
3531902;Morro Agudo;SP;1388.127;Mata Atlântica
3532207;Narandiba;SP;357.325;Mata Atlântica
3532157;Nantes;SP;286.647;Mata Atlântica
2609709;Orobó;PE;138.662;Mata Atlântica
3529807;Mineiros do Tietê;SP;213.242;Mata Atlântica
2609600;Olinda;PE;41.3;Mata Atlântica
3529708;Miguelópolis;SP;820.849;Mata Atlântica
2610202;Panelas;PE;380.428;Caatinga
3530201;Mirante do Paranapanema;SP;1238.931;Mata Atlântica
3530003;Mira Estrela;SP;216.825;Mata Atlântica
2607901;Jaboatão dos Guararapes;PE;258.724;Mata Atlântica
3530508;Mococa;SP;855.156;Mata Atlântica
2608107;João Alfredo;PE;139.87;Caatinga
3530805;Mogi Mirim;SP;497.708;Mata Atlântica
3530706;Mogi Guaçu;SP;812.753;Mata Atlântica
2608404;Jurema;PE;148.254;Mata Atlântica
3528205;Macedônia;SP;327.567;Mata Atlântica
2608701;Lagoa dos Gatos;PE;224.947;Mata Atlântica
3528809;Maracaí;SP;533.498;Mata Atlântica
